X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
11x48,0.028451215,0.02366225,0.10891988,0.027132243,0.2766863,0.045805432,0.10602749,0.24875966,0.070584334,0.040050108,0.556417,0.027060617,0.02907549
15x27,0.025214631,0.01642394,0.037155997,0.027871897,0.3991588,0.029703442,0.019594988,0.10437317,0.053557355,0.021212263,0.39767268,0.02872239,0.0189402
40x41,0.07592287,0.06290377,0.030746982,0.06383394,0.34855613,0.03766019,0.059974696,0.1434853,0.047883004,0.02951901,0.30864137,0.047447648,0.038670305
32x47,0.048257206,0.031713024,0.037308127,0.035742067,0.34443468,0.027664224,0.021197649,0.10077813,0.044756345,0.021021614,0.16411689,0.038290996,0.016189607
40x2,0.034513395,0.052979477,0.10968261,0.028123002,0.16553451,0.048525818,0.032994296,0.100384854,0.07992585,0.088192284,0.24772905,0.033211786,0.017147638
29x13,0.13580874,0.16149195,0.037154056,0.20521268,0.29714042,0.045050018,0.3116928,0.25238842,0.16069686,0.041227445,0.26929587,0.07581192,0.06588631
26x48,0.11976386,0.1444717,0.19056258,0.089970864,0.83273166,0.07734969,0.14818135,0.20242132,0.09815273,0.059948355,0.24542734,0.08464717,0.11566474
4x39,0.1370271,0.14884958,0.14850591,0.074959576,0.5173083,0.04632236,0.07707399,0.22429404,0.09220014,0.054239433,0.3381035,0.0774157,0.06292074
4x27,0.047461748,0.052008256,0.039380014,0.051650915,0.12831953,0.02912466,0.034384567,0.088173404,0.04307063,0.023922157,0.15065949,0.03506299,0.035800505
35x9,0.10173336,0.22200888,0.09839109,0.12107679,0.7811339,0.077891044,0.07123842,0.2918814,0.1499865,0.17825346,0.8033799,0.094902836,0.1751732
26x8,0.09151342,0.2171723,0.239428,0.09743141,0.5654592,0.18587011,0.1132492,0.18261637,0.08901097,0.17770636,0.29346776,0.10778751,0.07734645
47x8,0.027924798,0.037518132,0.053736925,0.03301927,0.31994584,0.054167103,0.030856026,0.18077822,0.03242364,0.073963955,0.28700057,0.031607963,0.014622383
